Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Score	Ortholog count	Ortholog Group
TGVEG_200110	TGVEG_200110-t26_1	Toxoplasma gondii VEG	KI545049:531..908(-)	hypothetical protein	5.589	26	OG6_489321
TGVEG_200130	TGVEG_200130-t26_1	Toxoplasma gondii VEG	TGVEG_chrXII:7,080,698..7,082,642(+)	Toxoplasma gondii family C protein	21.09	180	OG6_118713
TGVEG_200240	TGVEG_200240-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,785,451..6,786,506(-)	microneme protein MIC17B	5.589	71	OG6_134570
TGVEG_200250	TGVEG_200250-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,788,300..6,789,355(-)	microneme protein MIC17A	5.589	71	OG6_134570
TGVEG_200260	TGVEG_200260-t26_1	Toxoplasma gondii VEG	KI544618:1,238..1,939(-)	hypothetical protein	5.589	14	OG6_489454
TGVEG_200270	TGVEG_200270-t26_1	Toxoplasma gondii VEG	KI545738:550..1,605(+)	PAN/Apple domain-containing protein	5.589	71	OG6_134570
TGVEG_200280	TGVEG_200280-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,796,851..6,799,697(-)	WD domain, G-beta repeat-containing protein	5.589	29	OG6_491357
TGVEG_200290	TGVEG_200290-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,802,498..6,805,406(+)	rhomboid protease ROM1	5.589	58	OG6_100562
TGVEG_200300	TGVEG_200300-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,807,765..6,815,480(-)	putative 3'5'-cyclic nucleotide phosphodiesterase family, related protein	5.589	20	OG6_132680
TGVEG_200310	TGVEG_200310-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,820,531..6,822,582(-)	putative transmembrane protein	5.589	26	OG6_160735
TGVEG_200320	TGVEG_200320-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,823,692..6,825,509(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	5.589	36	OG6_101078
