orthologs,GT1,ME49,VEG
OG6_182182,3,3,2
OG6_489321,4,1,2
OG6_118713,18,14,11
OG6_134570,5,5,6
OG6_489454,1,1,1
OG6_491357,1,1,1
OG6_100562,2,2,2
OG6_491962,2,1,0
OG6_132680,1,1,1
OG6_160735,1,1,1
OG6_101078,1,1,1
OG6_134718,1,1,1
OG6_104717,2,2,2
OG6_156705,1,1,1
OG6_489955,1,1,1
OG6_101706,1,1,1
OG6_489925,0,1,1
OG6_119087,1,1,1
OG6_101579,1,1,1
OG6_489412,1,1,1
OG6_102571,1,1,1
OG6_491722,1,1,1
OG6_491499,1,1,1
OG6_158728,1,1,1
OG6_101441,1,1,1
OG6_115507,22,17,20
OG6_490846,1,1,1
OG6_490684,1,1,0
OG6_489848,0,1,0
OG6_151672,1,1,1
OG6_102238,2,2,2
OG6_490228,1,1,1
OG6_490170,1,1,1
OG6_100289,1,1,1
OG6_489387,1,1,1
OG6_489941,1,1,1
OG6_491224,3,1,2
OG6_492033,1,1,1
OG6_119550,1,1,1
OG6_491841,1,1,1
OG6_492040,0,1,1
OG6_105580,2,2,2
OG6_491046,1,1,1
OG6_490659,1,1,1
OG6_489315,1,1,1
OG6_186227,1,1,1
OG6_491425,1,1,1
OG6_102633,1,1,1
OG6_489809,1,1,1
OG6_103126,1,1,1
OG6_126697,4,3,4
OG6_491723,1,1,1
OG6_491077,1,1,1
OG6_490047,1,1,1
OG6_490899,1,1,1
OG6_102668,1,1,1
OG6_490163,1,1,1
OG6_101941,1,1,1
OG6_102033,1,1,1
OG6_102160,1,1,1
OG6_490615,1,1,1
OG6_222912,1,1,1
OG6_101459,2,2,2
OG6_222911,1,1,1
OG6_102066,1,1,1
OG6_492363,1,1,1
OG6_106501,1,1,1
OG6_490927,1,1,1
OG6_102703,1,1,1
OG6_139438,1,1,1
OG6_491316,1,1,1
OG6_146129,1,1,1
OG6_145389,1,1,1
OG6_100536,2,2,2
OG6_102912,1,1,1
OG6_179540,1,1,1
OG6_142847,1,1,1
OG6_139435,1,1,1
OG6_132287,1,1,1
OG6_489658,1,1,1
OG6_171409,1,1,1
OG6_490699,1,1,1
OG6_223014,1,1,1
OG6_489533,1,1,1
OG6_491966,1,1,1
OG6_134647,1,1,1
OG6_489310,1,1,1
OG6_490590,0,1,0
OG6_491883,1,1,1
OG6_492004,0,1,1
OG6_491401,1,1,1
OG6_491636,1,1,1
OG6_492283,1,1,1
OG6_489648,1,1,1
OG6_130917,1,1,1
OG6_171928,1,1,1
OG6_173494,1,1,1
OG6_489543,1,1,1
OG6_151540,2,1,1
OG6_206222,1,1,1
OG6_489357,1,1,1
OG6_491346,1,1,1
OG6_104217,1,1,1
OG6_490471,1,1,1
OG6_114105,1,1,1
OG6_489352,1,1,1
OG6_491280,1,1,1
OG6_489593,1,1,1
OG6_177152,1,1,1
