Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Score	Ortholog count	Ortholog Group
TGGT1_200010	TGGT1_200010-t26_1	Toxoplasma gondii GT1	TGGT1_chrXII:2,184,571..2,186,156(-)	hypothetical protein	5.589	54	OG6_182182
TGGT1_200110	TGGT1_200110-t26_1	Toxoplasma gondii GT1	AAQM03000477:877..1,254(-)	hypothetical protein	5.589	24	OG6_489321
TGGT1_200130	TGGT1_200130-t26_1	Toxoplasma gondii GT1	AAQM03000412:3,131..5,071(-)	Toxoplasma gondii family C protein	21.09	173	OG6_118713
TGGT1_200230	TGGT1_200230-t26_1	Toxoplasma gondii GT1	AAQM03000006:1,668..2,723(+)	microneme protein MIC17C	5.589	72	OG6_134570
TGGT1_200240	TGGT1_200240-t26_1	Toxoplasma gondii GT1	AAQM03000392:4,651..5,706(+)	microneme protein MIC17B	5.589	72	OG6_134570
TGGT1_200250	TGGT1_200250-t26_1	Toxoplasma gondii GT1	AAQM03000392:1,804..2,859(+)	microneme protein MIC17A	5.589	72	OG6_134570
TGGT1_200260	TGGT1_200260-t26_1	Toxoplasma gondii GT1	AAQM03000405:1,333..2,034(-)	hypothetical protein	5.589	14	OG6_489454
TGGT1_200270	TGGT1_200270-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,742,441..6,743,496(+)	PAN/Apple domain-containing protein	5.589	72	OG6_134570
TGGT1_200280	TGGT1_200280-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,745,388..6,748,234(-)	WD domain, G-beta repeat-containing protein	5.589	29	OG6_491357
TGGT1_200290	TGGT1_200290-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,751,037..6,753,945(+)	rhomboid protease ROM1	5.589	58	OG6_100562
TGGT1_200295	TGGT1_200295-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,757,771..6,761,695(-)	hypothetical protein	5.589	5	OG6_491962
TGGT1_200300	TGGT1_200300-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,762,422..6,764,853(-)	hypothetical protein	5.589	20	OG6_132680
TGGT1_200310	TGGT1_200310-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,769,899..6,771,950(-)	hypothetical protein	5.589	26	OG6_160735
TGGT1_200320	TGGT1_200320-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,773,060..6,774,877(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	5.589	36	OG6_101078
TGGT1_200330	TGGT1_200330-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,780,776..6,786,220(-)	hypothetical protein	5.589	33	OG6_134718
TGGT1_200340	TGGT1_200340-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,788,550..6,789,329(-)	hypothetical protein	5.589	40	OG6_104717
TGGT1_200350	TGGT1_200350-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,792,352..6,797,587(+)	subtilisin SUB3	5.589	29	OG6_156705
TGGT1_200360	TGGT1_200360-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,800,991..6,801,551(+)	hypothetical protein	5.589	18	OG6_489955
TGGT1_200370	TGGT1_200370-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,802,421..6,807,393(-)	prenyltransferase and squalene oxidase repeat-containing protein	5.589	29	OG6_101706
TGGT1_200385	TGGT1_200385-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,812,546..6,821,202(-)	Myb family DNA-binding domain-containing protein	5.589	17	OG6_119087
TGGT1_200400	TGGT1_200400-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,826,586..6,839,868(-)	hypothetical protein	5.589	28	OG6_101579
TGGT1_200410	TGGT1_200410-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,844,442..6,847,225(-)	hypothetical protein	5.589	18	OG6_489412
TGGT1_200430	TGGT1_200430-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,849,719..6,856,851(-)	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	5.589	27	OG6_102571
